use_id,plant_id,uses
1,HERB0001,Fruits are used as a mild stomachic and carminative in flatulent colic.
2,HERB0002,"Seeds yield a medicinal oil and act as a stomachic, used to allay irritation of the stomach produced either by cholera or other infections."
3,HERB0003,Seed oil is used as a stomachic and to allay irritation of the stomach produced either by cholera or other infections.
4,HERB0004,Commonly said to have properties that improve intellect and cure insanity and other nervous diseases.
5,SHRUB0005,"Unripe fruits are used as a cathartic. Ripe fruits are used for whooping cough and skin troubles. Bark is anthelmintic. Seeds are expectorant, used in whooping cough and for colic. Seed extract is hypotensive."
6,HERB0006,Seeds are purgative. Oil from the seeds is a powerful hydragogue cathartic. It is used externally to treat rheumatism. Roots are purgative.
7,SHRUB0007,"Seed roasted and used as an antidiabetic preparation. Leaf, bark, and seed are febrifuge. Leaf and bark are emmenagogue and anthelmintic. Root is diuretic and anticalculous."
8,SHRUB0008,Pods are used to stop bleeding in piles.
9,SHRUB0009,"Fruits are tonic and antipyretic. Seeds yield a fatty oil, used as a cosmetic and for discharges from the ear. Seeds are employed for colic."
10,SHRUB0010,"Root is astringent and antipyretic, used in phthisis and scrofulous infections."
11,SHRUB0011,"Leaves are laxative and antipyretic, used in erysipelas. Flowers are anthelmintic and also used for cough and catarrh. Root is used in intermittent fevers. Bark is used as an emmenagogue and abortifacient."
12,TREE0012,"Wood decoction is used in skin diseases, dysentery, and diarrhoea."
13,HERB0013,"Rich source of proteins, used as dal. Contains two globulin proteins: cajamn and concajanin."
14,GRASS0014,A nutritious fodder and decoction used for baths in rheumatism.
15,HERB0015,Roots are used as a tonic.
16,TREE0016,Used in treating neck pains and other inflammations.
17,SEAWEED0017,"Carrageenan is obtained from the alga, which is given as intravenous injections for the reduction of serum lipids and prevention of atherosclerosis. Carrageenan, also known as chondrus, is employed as a sudorific, stimulant, demulcent, and emollient. It is used as a pectoral in bronchitis and cough; in irritating diseases of the bladder and kidneys. The alga is also considered to possess anticoagulant properties."
18,HERB0018,Seeds are cathartic.
19,CLIMBER0019,The roots are applied for rheumatic swellings.
20,CLIMBER0020,"The juice is given in scurvy. For fractures, powdered root is very beneficial."
21,CLIMBER0021,The plant is employed in itch and skin problems.
22,HERB0022,Used for diarrhoea treatment.
23,CREEPER0023,"Fruit pulp, colocynth, a drastic hydragogue cathartic, contains citrullin, which was believed to be a glycoside but is now known to be a mixture of an alkaloid and citrullol. Roots are purgative and used in ascites, jaundice, rheumatism, and urinary troubles."
24,TREE0024,Medicines prepared from the plant are used in diarrhoea and loose motion.
25,TREE0025,"The unripe fruit is laxative, strengthening, cardiotonic, laxative, anthelmintic, and removes fatigue. The flower is stimulant; the smell of the flower relieves cold. Flower decoction is good for fever; juice is tonic, diuretic, useful in piles, and enlargement of the spleen. The fruit is used as a tonic for the liver, relieves vomiting and retching, and removes biliousness."
26,TREE0026,"Leaves are used in epilepsy, chorea, and convulsive coughs."
27,TREE0027,"The root is anthelmintic; used in constipation and in tumours. Useful in vomiting, abdominal complaints, asthma, and cough."
28,TREE0028,"Leaves are used in epilepsy, chorea, and convulsive coughs."
29,SHRUB0029,Leaf is used for poultice and acts as a purgative.
30,SHRUB0030,"Roots, flowers, and leaf infusion are used for colic."
31,SHRUB0031,Bark is used in veterinary medicine for wounds and sprains.
32,SHRUB0032,Leaves are abortifacient.
33,CLIMBER0033,Used in treating eczema and eye infections.
34,CLIMBER0034,Decoction of root is used against courbature.
35,CLIMBER0035,Used in treating leprosy.
36,HERB0036,The infusion of the plant is utilized in skin problems and gingivitis.
37,HERB0037,The herb is used as a stimulant and sudorific.
38,HERB0038,Leaves are used as vegetables.
39,HERB0039,"Leaves of the plant are considered rubefacient, sudorific, and vesicant. In chronic painful joints, a poultice of seeds is very effective. For condiment, carminative, and anthelmintic, seeds are used."
40,SHRUB0040,Root is used in the treatment of rheumatism and dyspepsia. Seeds are used in treating dropsy. Leaves are used as febrifuge and applied externally for cephalalgia and ophthalmia.
41,SHRUB0041,"Leaves are used as a bitter tonic, vermifuge, laxative, and cholagogue. Fresh leaf juice is introduced into the rectum for removal of ascarids. Leaves and roots are used in external applications for tumours."
42,TREE0042,"Dried ripe seeds are used as a stimulant, nervine, and diuretic. Caffeine content is 1.0-1.2%."
43,TREE0043,Roots are cathartic.
44,CLIMBER0044,"It has astringent, anthelmintic, diuretic, and expectorant properties and is used in the treatment of chest and urinary diseases."
45,TREE0045,"It has astringent, anthelmintic, diuretic, and expectorant properties and is used in the treatment of chest and urinary diseases."
46,TREE0046,"Bulbs are used in biliousness, strangury, and other urinary troubles."
47,HERB0047,Leaf juice is used for earache. Bulbs are used in rheumatism.
48,HERB0048,"Seeds used as diuretic, tonic and refrigerant"
49,CREEPER0049,"Seeds are useful as taeniacide, tonic, and diuretic. Fruit pulp is used as a poultice on boils, burns, and inflammations."
50,CREEPER0050,Seeds are eaten and also used as a taeniacide.
51,CREEPER0051,"Tubers and rhizomes are used to remove liver obstruction, dropsy, jaundice; externally used for ulcers and inflammation."
52,HERB0052,"Rhizomes is used as antimicrobial, antifungal and anthelmintic. The tubers are used in skin eruptions and infections."
53,HERB0053,"Dried tuberous roots are aromatic and used for their diuretic, diaphoretic, and astringent properties; used in stomach and bowel complaints."
54,HERB0054,"Leaves have narcotic, antispasmodic, mydriatic, and anodyne properties."
55,HERB0055,"Roots are used as a febrifuge, expectorant, and diuretic."
56,HERB0056,"Leaves are used for dysentery, diarrhoea, convulsions, and as a galactagogue."
57,HERB0057,"An essential oil is derived from the flowers, which is used as an excellent fixative. The flowers of the plant are used as a cardiotonic, diaphoretic, and laxative."
58,HERB0058,Leaves are used in the treatment of respiratory tract diseases.
59,TREE0059,"Fruit extract has laxative, emollient, and diuretic properties."
60,TREE0060,"Latex exuded is used for application in case of rheumatism and lumbago. Bark has tonic and astringent properties, which are used in diarrhoea, dysentery, and diabetes treatment."
61,TREE0061,Bark extract used in treating skin problems and ulcers.
62,TREE0062,"The fruit of the plant is used in cutaneous infections, diarrhoea, and dysentery."
63,TREE0063,Leaves are used in scorpion-sting and snake-bite.
64,HERB0064,"Leaves of the plant are used as anodyne, aperient, and emollient. The decoction of the plant is prescribed in bronchial catarrh."
65,SHRUB0065,"The fruits of the plant are considered to have antiscorbutic properties. The leaves, seeds, and ripe calyces are used as antiscorbutic and diuretic."
66,HERB0066,Yields an essential oil.
67,CREEPER0067,Leaf and root extract used in the preparation of eye lotions.
68,SHRUB0068,"Plant has emmenagogue, anthelmintic, and diuretic properties. Leaf juice is used for the treatment of corns and mouth ulcers."
69,SHRUB0069,"Plant has emmenagogue, anthelmintic, and diuretic properties. Leaf juice is used for the treatment of corns and mouth ulcers."
70,SHRUB0070,"Leaves mildly stimulant and diuretic, used in scorbutic diseases and hepatic complaints. Seeds galactagogue, emmenagogue, diuretic, tonic, aphrodisiac, laxative, and rubefacient used in poultices for hurts and sprains. Roots used in secondary syphilis and tenesmus."
71,HERB0071,"The dried leaves and flowering tops have diuretic, analgesic, emmenagogue properties and are given in heart palpitation and hysteria. It is also employed as it tones up the uterine membrane and generative organs, allays nervous irritability, and affords relief from pain in the stomach and gallbladder. For dermatitis, leaves are used."
72,HERB0072,"The leaves, bark, and fruits of the plant are considered to have insect-repellent properties. Leaf-juice is employed as anthelmintic, diuretic, and emmenagogue. From the tree, a gum is obtained which is used in spleen enlargement, and the infusion of bark is given in ascariasis. Fruits are given as tonic in cases of severe poisoning."
73,TREE0073,"Seeds are antipyretic. Seed oil is applied in rheumatism. All parts of the tree are used in the treatment of ascites, venomous bites, rheumatism, and as cardiac and circulatory stimulants."
74,TREE0074,"Leaf applied to ulcers. Pod is anthelmintic. Seed is astringent, nervine tonic, local stimulant, used in impotence, spermatorrhoea, urinary troubles, leucorrhoea, traditionally used for male virility. Also used in depressive neurosis. Hair on fruit is vermifuge, mild vesicant; used for diseases of liver and gallbladder."
75,CLIMBER0075,"Leaves are used in diarrhoea, dysentery, vomiting. Root juice is taken for relief from renal pain."
76,SHRUB0076,"Root is used as a vesicant, abortifacient, and diuretic, and is used in the treatment of dyspepsia, piles, anasarca, diarrhoea, and skin diseases. Root paste is applied for opening abscesses. Root infusion is used in influenza and black-water fever treatment. Root bark contains plumbagin pigment."
77,SHRUB0077,"Root is used as a vesicant, abortifacient, and diuretic, and is used in the treatment of dyspepsia, piles, anasarca, diarrhoea, and skin diseases. Root paste is applied for opening abscesses. Root infusion is used in influenza and black-water fever treatment. Root bark contains plumbagin pigment."
78,TREE0078,The poultice of leaves is applied for boils and sores. The decoction of roots is prescribed for lumbago.
79,HERB0079,"Root extract is antidysenteric and antiseptic in nature. Leaf and stem decoction is used as a vermifuge and is also a constituent of the drug septilin, which is used for rhinosinal infections."
80,HERB0080,"Root extract is antidysenteric and antiseptic in nature. Leaf and stem decoction is used as a vermifuge and is also a constituent of the drug septilin, which is used for rhinosinal infections."
81,TREE0081,"It is antiseptic and antidysenteric, used in cardalgia and gripe. Infusion of the herb is applied to anthrax pustules. The herb is also used as a diuretic and laxative; decoction is narcotic and antispasmodic. Freshly prepared extract of herb is effective in cirrhosis of the liver. Juice of fresh leaves produces dilatation of the pupils. Berries are tonic, diuretic, and cathartic and are used in anasarca and heart diseases. They are employed as a domestic remedy."
82,HERB0082,"Potatoes are used as antiscorbutic, aperient, diuretic, and galactagogue. Extract of leaves is used as antispasmodic in cough. Tuber is ground and made into a paste for application to burns with much benefit."
83,HERB0083,Decoctions of bark and powdered seeds are used in diabetes treatment. Bark is used in gargles and mouthwashes.
84,TREE0084,Clove oil is used as a local analgesic for hypersensitive dentines and cavities and is also used for external application as a rubefacient and internally as a carminative and antispasmodic medication.
85,TREE0085,"Fruits are used in the treatment of cough, hoarseness, and scorpion sting and form a constituent of triphala, which is an important Ayurvedic medicine."
86,TREE0086,"Fruits have laxative, stomachic, and tonic properties and form a constituent of triphala, which is an important Ayurvedic medicine."
87,HERB0087,"Leaves are rich in calcium but poor in iron. Fruits are used as a tonic and diuretic, also used in painful micturition and calculous infections, and are also prescribed in Bright?s disease. Leaves are stomachic, used as lithontriptic. Roots are aperient."
88,SHRUB0088,Decoction of stem and roots is used for flatulent colic. Flowers are expectorant; their infusion is applied in aphthae and sore throat.
89,SHRUB0089,"Roots are used for treating hiccup, cough, dropsy, rheumatism, and female disorders, and as a sedative in cases of senile debility. It is useful for inflammatory conditions like ulcers and scabies in the form of external applications. Leaves are used as a febrifuge and applied to lesions, painful swellings, and sore eyes."
90,HERB0090,"Herb is diaphoretic, diuretic, emollient, and sedative. Decoction is used in treating chronic malaria, leucorrhoea, and urinary diseases. Buds are tonic, diuretic, and sedative. Seeds are used for resolving inflammatory swellings and their oil for bladder infections, herpes, and erysipelas. Fruits contain anti-inflammatory activity. It is added to pharmaceutical preparations or food products for the regulation of hormonal activity and treatment of urino-genital infections."
91,TREE0091,"Bark used for ulcers and wounds. Fruit is nourishing, tonic, emollient, antitussive, antiallergic; protects liver and prevents stress ulcer formation. Seed used for dry cough and skin eruptions. Kernel used in insomnia."
