plant_id,scientific_name,family_id,type_id,description
CLIMBER0019,Cissus pallida (Wight & Arn.) Planch.,12,6,"A climbing plant native to tropical regions, known for its medicinal properties and used in traditional medicine for treating digestive and skin issues."
CLIMBER0020,Cissus quadrangularis L.,12,6,"A succulent vine native to tropical regions, used in traditional medicine for its digestive and anti-inflammatory properties."
CLIMBER0021,Cissus repens Lam.,12,6,"A small vine native to tropical regions, known for its use in traditional medicine to treat digestive and respiratory issues."
CLIMBER0033,Clematis gauriana Roxb. ex DC.,15,6,"A climbing shrub native to tropical regions, known for its medicinal properties and use in traditional medicine for digestive and skin conditions."
CLIMBER0034,Clematis smilacifolia Wall.,15,6,"A climbing vine native to tropical regions, used in traditional medicine for its anti-inflammatory and digestive properties."
CLIMBER0035,Clematis triloba B.Heyne ex Roth,15,6,"A small climbing vine native to tropical regions, valued for its use in traditional medicine for treating digestive and skin conditions."
CLIMBER0044,Convolvulus arvensis L.,19,6,"A climbing vine native to temperate regions, used in traditional medicine for its anti-inflammatory and digestive properties."
CLIMBER0075,Mucuna pruriens (L.) DC.,7,6,"A climbing plant native to tropical regions, known for its medicinal seeds used to treat neurological and digestive issues."
CREEPER0023,Citrullus colocynthis (L.) Schrad.,14,7,"A small herbaceous plant native to Africa and the Middle East, used in traditional medicine for its anti-inflammatory and digestive benefits."
CREEPER0049,Cucumis sativus L.,14,7,"A widely cultivated vine native to India, known for its edible fruit and use in traditional medicine for digestive issues."
CREEPER0050,Cucurbita maxima Duchesne,14,7,"A large vine native to the Americas, valued for its edible fruit and use in traditional medicine for digestive and skin conditions."
CREEPER0051,Cucurbita pepo L.,14,7,"A vine native to the Americas, widely cultivated for its edible fruit and used in traditional medicine for its digestive benefits."
CREEPER0067,Ipomoea batatas (L.) Lam.,19,7,"A tuberous vine native to Central and South America, valued for its edible roots and use in traditional medicine for its digestive benefits."
GRASS0014,Chloris virgata Sw.,8,4,"A perennial grass native to tropical regions, valued for its use in traditional medicine to treat digestive and respiratory issues."
HERB0001,Ammi visnaga (L.) Lam.,1,1,"A small herbaceous plant native to the Mediterranean region, used in traditional medicine for its digestive and anti-inflammatory properties."
HERB0002,Amomum aromaticum Roxb.,2,1,"A tropical plant known for its aromatic seeds, used in traditional medicine for digestive and respiratory issues."
HERB0003,Amomum subulatum Roxb.,2,1,"A perennial herb native to the Himalayas, used in traditional medicine for its digestive and carminative properties."
HERB0004,Bacopa monnieri (L.) Pennell,3,1,"A small perennial herb native to tropical regions, used in traditional medicine for its memory-enhancing and cognitive benefits."
HERB0006,Baliospermum montanum (Willd.) Muell.Arg.,5,1,"A climbing shrub native to tropical regions, used in traditional medicine for its antimicrobial and anti-inflammatory properties."
HERB0013,Cajanus cajan (L.) Millsp.,7,1,"A leguminous plant native to tropical Asia, used in traditional medicine for its digestive and anti-inflammatory benefits."
HERB0015,Chlorophytum arundinaceum Baker,9,1,"A succulent plant native to tropical regions, known for its medicinal uses in treating digestive and respiratory ailments."
HERB0018,Chrozophora plicata A.Juss.,5,1,"A small shrub native to tropical regions, valued for its medicinal properties and used in traditional medicine for treating digestive and skin issues."
HERB0022,Cistanche tabulosa (Schrenk) Wight,13,1,"A parasitic plant native to desert regions, known for its medicinal properties used to treat digestive and urinary issues."
HERB0036,Cleome chelidoni L.,16,1,"A small herbaceous plant native to tropical regions, used in traditional medicine for its anti-inflammatory and digestive benefits."
HERB0037,Cleome gynandra (L.) L.,16,1,"A small herbaceous plant native to tropical regions, known for its use in traditional medicine for treating digestive and skin conditions."
HERB0038,Cleome monophylla L.,16,1,"A small herbaceous plant native to tropical regions, used in traditional medicine for its antimicrobial and anti-inflammatory properties."
HERB0039,Cleome viscosa L.,16,1,"A small herbaceous plant native to tropical regions, used in traditional medicine for its antimicrobial and anti-inflammatory benefits."
HERB0047,Crinum asiaticum L.,21,1,"A large perennial herb native to tropical regions, valued for its medicinal properties and use in traditional medicine for digestive issues."
HERB0048,Crinum latifolium L.,21,1,"A large herbaceous plant native to tropical regions, known for its medicinal uses in treating digestive and respiratory ailments."
HERB0052,Curcuma longa L.,2,1,"A tropical plant known for its bright yellow rhizomes, used in traditional medicine for its anti-inflammatory and antioxidant properties."
HERB0053,Curcuma aromatica Salisb.,2,1,"A tropical herb known for its aromatic rhizomes, used in traditional medicine for digestive and anti-inflammatory benefits."
HERB0054,Cyperus rotundus L.,22,1,"A small herbaceous plant native to tropical regions, used in traditional medicine for its digestive and anti-inflammatory properties."
HERB0055,Datura stramonium L.,23,1,"A large herbaceous plant native to the Americas, known for its medicinal properties and use in traditional medicine for its sedative effects."
HERB0056,Desmodium gangeticum (L.) DC.,7,1,"A small shrub native to tropical regions, used in traditional medicine for its digestive and anti-inflammatory benefits."
HERB0057,Desmodium triflorum (L.) DC.,7,1,"A small herbaceous plant native to tropical regions, valued for its use in traditional medicine for treating digestive and skin issues."
HERB0058,Dianthus caryophyllus L.,24,1,"A flowering plant native to Europe and Asia, known for its fragrant flowers and use in traditional medicine for its anti-inflammatory properties."
HERB0064,Gossypium herbaceum L.,28,1,"A small shrub native to tropical regions, known for its fibrous fruit and use in traditional medicine for its digestive benefits."
HERB0066,Hibiscus sabdariffa L.,28,1,"A tropical plant known for its edible calyces, used in traditional medicine for its antioxidant and anti-inflammatory benefits."
HERB0071,Lepidium sativum L.,30,1,"A small herbaceous plant native to Europe and Asia, used in traditional medicine for its digestive and diuretic benefits."
HERB0072,Leonurus cardiaca L.,31,1,"A herbaceous plant native to Europe and Asia, known for its use in traditional medicine for treating digestive and heart conditions."
HERB0079,Ricinus communis L.,5,1,"A large herbaceous plant native to Africa and the Middle East, used in traditional medicine for its digestive and anti-inflammatory benefits."
HERB0080,Rubia cordifolia L.,18,1,"A climbing plant native to tropical and subtropical regions, known for its medicinal roots used to treat skin and digestive issues."
HERB0082,Solanum nigrum L.,23,1,"A small herbaceous plant native to tropical and subtropical regions, used in traditional medicine for its digestive and anti-inflammatory properties."
HERB0083,Solanum tuberosum L.,23,1,"A widely cultivated tuberous plant native to the Andes, valued for its edible roots and use in traditional medicine for its digestive benefits."
HERB0087,Tribulus terrestris L.,38,1,"A small herbaceous plant native to tropical and subtropical regions, used in traditional medicine for its diuretic and anti-inflammatory properties."
HERB0090,Xanthium strumarium L.,39,1,"A herbaceous plant native to temperate regions, valued for its use in traditional medicine for treating respiratory and skin issues."
SEAWEED0017,Chondrus crispus Stackh.,11,5,"A seaweed native to the Atlantic Ocean, used in traditional medicine for its antioxidant and anti-inflammatory properties."
SHRUB0005,Balanites aegyptiaca (L.) Delile,4,2,"A spiny tree native to tropical and subtropical regions, known for its edible fruit and use in traditional medicine for digestive and skin issues."
SHRUB0007,Caesalpinia bonduc (L.) Roxb.,6,2,"A small shrub native to tropical regions, known for its medicinal seeds used to treat digestive and respiratory ailments."
SHRUB0008,Caesalpinia coriaria (Jacq.) Willd.,6,2,"A spiny shrub native to tropical America, used in traditional medicine for its digestive and anti-inflammatory properties."
SHRUB0009,Caesalpinia crista L.,6,2,"A small tree native to tropical regions, used in traditional medicine for its astringent and anti-inflammatory properties."
SHRUB0010,Caesalpinia digyna Rottler,6,2,"A perennial shrub native to tropical regions, known for its use in traditional medicine for digestive and skin conditions."
SHRUB0011,Caesalpinia pulcherrima (L.) Swartz,6,2,A tropical shrub known for its vibrant flowers and use in traditional medicine for its anti-inflammatory and digestive benefits.
SHRUB0029,Claoxylon indicum Hassk.,5,2,"A small tree native to tropical regions, known for its use in traditional medicine for treating digestive and skin conditions."
SHRUB0030,Clausena excavata Burm.f.,10,2,"A small shrub native to tropical regions, used in traditional medicine for its digestive and antimicrobial properties."
SHRUB0031,Clausena pentaphylla (Roxb.) DC.,10,2,"A small tree native to tropical Asia, known for its medicinal bark and use in traditional medicine for digestive and skin issues."
SHRUB0032,Cleistanthus collinus (Roxb.) Benth. ex Hook.f.,5,2,"A small shrub native to tropical regions, valued for its medicinal bark and use in traditional medicine for treating digestive and respiratory issues."
SHRUB0040,Clerodendrum serratum (L.) Moon,17,2,"A small shrub native to tropical Asia, valued for its medicinal properties and used in traditional medicine for treating digestive and respiratory issues."
SHRUB0041,Clerodendrum viscosum Vent.,17,2,"A climbing shrub native to tropical regions, used in traditional medicine for its anti-inflammatory and antimicrobial properties."
SHRUB0065,Hibiscus rosa-sinensis L.,28,2,A tropical shrub known for its vibrant flowers and use in traditional medicine for its digestive and anti-inflammatory properties.
SHRUB0068,Jasminum sambac (L.) Aiton,29,2,A tropical shrub known for its fragrant flowers and use in traditional medicine for its calming and digestive properties.
SHRUB0069,Jasminum grandiflorum L.,29,2,"A small shrub native to tropical regions, valued for its fragrant flowers and use in traditional medicine for its relaxing and digestive benefits."
SHRUB0070,Jasminum officinale L.,29,2,A climbing shrub known for its aromatic flowers and use in traditional medicine for its calming and digestive properties.
