plant_id,common_name,common_name2,common_name3,common_name4
HERB0001,Toothpick plant,Khella,Egyptian Ammi,
HERB0002,Morang elaichi,Black Cardamom,Large Cardamom,
HERB0003,Bari elachi,Green Cardamom,True Cardamom,Baara aliach
HERB0004,Nira-brahmi,Waterhyssop,bacopa,
SHRUB0005,Hingan,Desert Date,Balanites,Hingot
HERB0006,Danti,Wild Croton,Baliospermum,
SHRUB0007,Kantikaranjua,Fever Nut,Bonduc Nut,Kat-karanj
SHRUB0008,Dividivi,Divi-divi,Divi-divi Bean,
SHRUB0009,Karanju,Indian Beech,Pongamia,Katkaranj
SHRUB0010,Vakeri-mul,Safed Musli,White Musli,
SHRUB0011,Guletura,Wild Jute,Nalta Jute,
TREE0012,Bakam,Sappanwood,Red Sandalwood,Patang
HERB0013,Arhar,Pigeon Pea,Red Gram,Tur
GRASS0014,Gharaniagas,Gokshura,Tribulus,
HERB0015,Safed musli,White Musli,Chlorophytum,
TREE0016,Bhirra,Ceylon Satinwood,Chloroxylon,Girya
SEAWEED0017,Irish Moss,Carrageen Moss,Chondrus,
HERB0018,Neelkanthi,Violet-blue Leaved Plant,Peristrophe,
CLIMBER0019,Kondage,Shiso,Perilla,
CLIMBER0020,Hadjora,Veldt Grape,Cissus,Harsankari
CLIMBER0021,Nelaboddu,Nutgrass,Nut Sedge,
HERB0022,Pilo agio,Tanner's Cassia,Cassia,
CREEPER0023,Indrayan,Bitter Apple,Citrullus,Makal
TREE0024,Kaghzi-nimbu,Key Lime,Mexican Lime,
TREE0025,Khatta,Sweet Lime,Mitha Lemon,
TREE0026,Chakotra,Pomelo,Shaddock,Mahanimbu
TREE0027,Bara nimbu,Citron,Buddha's Hand,Bijaura
TREE0028,Musambi,Sweet Orange,Navel Orange,Narangi
SHRUB0029,Laping Budak,East Indian Arrowroot,Laping,
SHRUB0030,Cemamar,Curry Leaf,Kari Patta,
SHRUB0031,Ratanjote,Alkanet,Dyer's Bugloss,
SHRUB0032,Garari,Karada,Karaadu,
CLIMBER0033,Telejadari,Sun Hemp,Crotalaria,
CLIMBER0034,Gurraputige,Gurmar,Gymnema,
CLIMBER0035,Murhari,Three-leaved Caper,Crateva,
HERB0036,Gulabi Tilwan,True Indigo,Indigofera,
HERB0037,Hulul,Physic Nut,Jatropha,Churota
HERB0038,Velakkeerai,Spiny Amaranth,Amaranthus spinosus,
HERB0039,Thumbai,Thumbai Flower,Leucas,
SHRUB0040,Sarala,Chir Pine,Pinus roxburghii,
SHRUB0041,Naga sura,Ironwood Tree,Mesua ferrea,
TREE0042,Robusta Coffee,Coffea Robusta,Robusta,
TREE0043,Liberica Coffee,Barako Coffee,Liberica,
CLIMBER0044,Field bindweed,Creeping Jenny,Bindweed,
TREE0045,Tendu,East Indian Ebony,Ebony Tree,
TREE0046,Bhokar,Indian Cherry,Kerser,
HERB0047,Giant Crinum Lily,Poison Bulb,Belladonna,
HERB0048,Broad-leaved Crinum,Milk-and-Wine Lily,Fire Lily,
CREEPER0049,Cucumber,Garden Cucumber,Slicing Cucumber,
CREEPER0050,Pumpkin,Field Pumpkin,Jack-o’-Lantern Pumpkin,
CREEPER0051,Squash,Winter Squash,Butternut Squash,
HERB0052,Turmeric,Haldi,Indian Turmeric,
HERB0053,Wild Turmeric,Kasthuri Manjal,Curcuma,
HERB0054,Nutgrass,Motha,Cyperus,
HERB0055,Jimson Weed,Thorn Apple,Datura,
HERB0056,Salap,Marsh Orchid,Bog Orchid,
HERB0057,Kachur,Spiked Ginger Lily,Hedychium Spicatum,
HERB0058,Carnation,Clove Pink,Dianthus,
TREE0059,Blue Gum,Tasmanian Blue Gum,Eucalyptus Tree,
TREE0060,Fig,Common Fig,Ficus,
TREE0061,Banyan Tree,Indian Banyan,Banyan,
TREE0062,Peepal Tree,Sacred Fig,Peepal,
TREE0063,Mangosteen,Purple Mangosteen,Mangosteen Fruit,
HERB0064,Cotton,Upland Cotton,Cotton Plant,
SHRUB0065,China Rose,Shoe Flower,Hibiscus,
HERB0066,Roselle,Sorrel,Garden Sorrel,
CREEPER0067,Sweet Potato,Yam,Yam Bean,
SHRUB0068,Arabian Jasmine,Mogra,Jasmine,
SHRUB0069,Royal Jasmine,Spanish Jasmine,Jasmine Flower,
SHRUB0070,Common Jasmine,True Jasmine,Real Jasmine,
HERB0071,Cress,Garden Cress,Cress Plant,
HERB0072,Motherwort,Lion's Tail,Lion’s Ear,
TREE0073,Chinaberry Tree,Persian Lilac,Chinaberry,
TREE0074,Drumstick Tree,Moringa,Moringa Plant,
CLIMBER0075,Velvet Bean,Cowhage,Cowhage Bean,
SHRUB0076,Curry Leaf,Karipatta,Kari Patta,
SHRUB0077,Leadwort,Ceylon Leadwort,Ceylon Plumbago,
TREE0078,Pomegranate,Anar,Pomegranate Fruit,
HERB0079,Castor Bean,Castor Oil Plant,Castor Plant,
HERB0080,Manjistha,Indian Madder,Indian Rubia,
TREE0081,Sandalwood,Chandan,Sandalwood Tree,
HERB0082,Black Nightshade,Makoi,Nightshade,
HERB0083,Potato,Aloo,Spud,
TREE0084,Jamun,Java Plum,Jamun Fruit,
TREE0085,Bibhitaki,Beleric Myrobalan,Beleric,
TREE0086,Haritaki,Chebulic Myrobalan,Chebulic,
HERB0087,Gokshura,Puncture Vine,Tribulus,
SHRUB0088,Wild Jute,Nalta Jute,Jute Plant,
SHRUB0089,Ashwagandha,Indian Ginseng,Withania,
HERB0090,Cocklebur,Burweed,Cocklebur Plant,
TREE0091,Jujube,Chinese Date,Jujube Fruit,
